Year	Alabama	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District Of Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
1943	2902	692	1843	8506	1153	1792	282	900	2451	3245	500	7761	3449	2334	1796	2693	2565	806	2089	4257	5405	2577	2280	3705	485	1241	151	462	4226	534	12807	3654	546	6868	2205	1221	9444	760	1967	587	2972	7012	631	327	3130	2027	1741	3014	247
1944	2802	610	1768	8945	1137	1778	285	881	2420	3176	529	7719	3440	2301	1779	2631	2508	801	2118	4192	5467	2526	2167	3560	469	1216	153	456	4158	527	12628	3560	534	6918	2043	1233	9214	795	1943	565	2868	6876	605	314	3248	2092	1706	2980	242
1945	2775	594	1762	9344	1116	1769	286	876	2465	3119	507	7601	3427	2308	1731	2597	2429	800	2096	4201	5475	2537	2090	3516	477	1211	149	459	4108	537	12495	3533	546	6916	2028	1250	9143	776	1934	579	2878	6826	591	315	3193	2206	1708	2961	239
1946	2911	616	1797	9559	1203	1906	299	899	2440	3242	509	8155	3702	2467	1805	2761	2556	832	2214	4494	5874	2734	2064	3746	514	1256	143	494	4492	561	13398	3706	570	7512	2128	1338	9866	770	1936	588	3074	7197	638	342	3212	2288	1826	3167	254
1947	2942	653	1836	9832	1237	1967	305	888	2528	3272	522	8341	3779	2509	1853	2803	2579	854	2248	4580	6076	2796	2107	3845	531	1265	149	507	4618	582	13982	3769	578	7705	2133	1361	10196	776	1992	601	3166	7388	636	354	3201	2211	1883	3250	258
1948	2969	690	1825	10064	1263	2014	312	840	2578	3259	551	8552	3877	2543	1892	2817	2596	878	2271	4674	6213	2868	2076	3844	542	1265	156	520	4774	604	14497	3837	580	7876	2089	1405	10287	787	1996	612	3216	7626	653	359	3207	2255	1899	3314	269
1949	3000	714	1844	10337	1295	2032	316	807	2668	3325	570	8670	3958	2578	1925	2849	2634	903	2329	4741	6332	2935	2085	3882	569	1302	157	533	4889	644	14892	3911	597	7973	2105	1431	10390	801	2029	631	3236	7623	671	369	3292	2294	1930	3391	277
1950	3058	756	1908	10677	1325	2016	321	806	2810	3458	590	8738	3967	2625	1916	2936	2697	917	2355	4686	6407	2997	2176	3964	593	1327	162	532	4872	689	14865	4068	619	7980	2229	1532	10507	786	2113	655	3315	7776	696	379	3315	2387	2006	3438	290
1951	3059	785	1901	11134	1326	2028	331	808	2980	3531	589	8790	4096	2617	1950	2941	2769	916	2441	4654	6497	3010	2163	4015	596	1316	168	529	5006	717	14890	4120	604	8061	2210	1556	10461	784	2167	655	3372	8111	706	378	3434	2424	1984	3439	291
1952	3068	842	1838	11635	1365	2081	341	805	3157	3584	587	8956	4148	2626	1977	2920	2842	915	2500	4650	6650	3030	2152	3972	602	1311	181	535	5125	735	15192	4109	608	8275	2219	1582	10503	802	2178	651	3352	8314	724	375	3504	2448	1957	3469	293
1953	3053	894	1780	12251	1431	2168	351	810	3310	3558	596	9065	4182	2629	1994	2903	2866	913	2567	4806	6822	3050	2105	4020	616	1318	195	547	5229	756	15527	4120	609	8591	2182	1601	10662	815	2181	648	3319	8336	739	379	3557	2466	1929	3506	290
